Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
61,Hercules in New York,0065832,3.3,1970,English,"Adventure, Comedy, Fantasy","After many centuries, Hercules gets bored living in Olympus (the home of the great Greek gods) and decides to move to... New York. But obviously, it is not easy for a man who lived in ancient Greece to get used to modern life. So, things get a little tricky, especially when Zeus sends a few gods to bring his semi-god son back to mount Olympus.",Arthur Allan Seidelman,"Arnold Stang, Arnold Schwarzenegger, Deborah Loomis, James Karen, Ernest Graves",0.5341094525040193,0.06623600927919561,Positive,"{'Happy': 0.1016, 'Angry': 0.0392, 'Surprise': 0.278, 'Sad': 0.2488, 'Fear': 0.33}"
62,Laxmii,10350922,2.6,2020,"Hindi, English","Action, Comedy, Horror",Asif and Rashmi married without the wishes of their parents and are living happily.Rashmi's mother invites them for their 25th wedding anniversary by forgetting the past her house is located at a place where a nearby bungalow number 6 is said to be haunted Asif goes to play cricket out there with kids where he places the stumps not realizing that a corpse is buried under it.Rashmi's mother Ratna and sister in law Ashwini notice a black shadow in the house and take help of spiritual guru who tells that the house has a powerful spirit.Asif gets possessed by the spirit and starts to behave and act like female wearing bangles and calling himself Laxmi.,"Lawrence Raghavendra, Balakrishnan Thevar","Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar, Ayesha Raza",0.4860111111111111,-0.09141349206349206,Negative,"{'Happy': 0.0992, 'Angry': 0.0288, 'Surprise': 0.2488, 'Sad': 0.3264, 'Fear': 0.2152}"
63,Barb Wire,0115624,3.4,1996,"English, French, German","Action, Sci-Fi","In the early 21st century, the USA is in the wake of the Second Civil War. The whole country is in a constant state of emergency. What was formerly called the American Congress now rules the country with fascistic methods. There is only one free city left, Steel Harbor, a coastal California industrial town which is headquarters for the resistance. This is the home town of Barb Wire, owner of the Hammerhead nightclub. As times aren't good, Barb has a second job. She's a bounty hunter and you probably wouldn't want her after you. Barb's credo is to never take sides for anybody and that's the only way to survive these days in the crime-ridden streets of Steel Harbor. One evening, her former lover Axel Hood appears at the club asking for a favor to help him and his lover Cora D flee the country to Canada, Barb suddenly finds herself to be key player on high political stage. Now she has to take sides.",David Hogan,"Amir AboulEla, Adriana Alexander, David Andriole, Vanessa Lee Asher, Ron Balicki",0.5470520996252214,0.14274131449612895,Positive,"{'Happy': 0.1812, 'Angry': 0.0488, 'Surprise': 0.2525, 'Sad': 0.1963, 'Fear': 0.3213}"
64,Far Cry,0400426,3.2,2008,English,"Action, Adventure, Sci-Fi","Jack Carver, a German ex-special forces soldier turned boatman, is hired by Valerie Cardinal, a journalist, to take her to a nearby island where her uncle Max works in a top-secret research facility, smuggling information out. However, the facility's director and evil mastermind Dr. Krieger is actually creating genetically modified super-soldiers with no intelligence, and Uncle Max and Val are taken by Krieger's mercenaries. It's now only up to Jack and his trusty handgun to save them and defeat Krieger's evil minions.",Uwe Boll,"Til Schweiger, Emmanuelle Vaugier, Natalia Avelon, Udo Kier, Chris Coppola",0.5337587546261893,0.032792647601661944,Positive,"{'Happy': 0.1452, 'Angry': 0.0588, 'Surprise': 0.2376, 'Sad': 0.2484, 'Fear': 0.3112}"
65,Breach,9820556,3.0,2020,English,"Action, Horror, Sci-Fi",,John Suits,"Cody Kearsley, Bruce Willis, Rachel Nichols, Kassandra Clementi, Johnny Messner",0.5636282614074531,-0.14777776741812523,Negative,"{'Happy': 0.0468, 'Angry': 0.0584, 'Surprise': 0.2788, 'Sad': 0.2664, 'Fear': 0.3492}"
66,Mortal Kombat: Annihilation,0119707,3.6,1997,English,"Action, Adventure, Fantasy, Sci-Fi, Thriller","Mortal Kombat is an ancient tournament where the Earth Realm warriors battle against the forces of Outworld. Liu Kang and a few chosen fighters fought and defeated the powerful sorcerer Shang Tsung, their victory would preserve the peace on Earth for one more generation. Taking place now where the first movie left off, the Earth realm warriors live a short period of peace when evil forces from another dimension come to invade and wreak havoc on Earth. They are guided by the forces of Outworld leader, Shao Kahn and his generals such as: Motaro, Rain, Ermac, Sheeva, and Sindel. Now Liu Kang, Raiden, Jax, Sonya, and Kitana must defeat Shao Kahn in six days before the Earth realm merges with the Outworld.",John R. Leonetti,"Robin Shou, Talisa Soto, James Remar, Sandra Hess, Lynn 'Red' Williams",0.5112424390808953,0.005959300572764987,Positive,"{'Happy': 0.1068, 'Angry': 0.0436, 'Surprise': 0.2732, 'Sad': 0.2344, 'Fear': 0.3404}"
67,3 Ninjas: High Noon at Mega Mountain,0118539,2.9,1998,English,"Action, Adventure, Comedy, Family","Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans.",Sean McNamara,"Hulk Hogan, Loni Anderson, Jim Varney, Mathew Botuchis, Michael O'Laskey II",0.5401275372525777,0.03919792206016895,Positive,"{'Happy': 0.2028, 'Angry': 0.062, 'Surprise': 0.2932, 'Sad': 0.2244, 'Fear': 0.22}"
68,Feardotcom,0295254,3.4,2002,English,"Crime, Horror, Thriller","Four bodies are found in New York City. Why, why, why? The coincidence? They all died 48 hours after logging on to a site named feardotcom.com. Tough detective Mike Reilly collaborates with Department of Health associate Terry Huston to research these mysterious deaths. The only way to find out though what really happened is to enter the site itself...",William Malone,"Stephen Dorff, Natascha McElhone, Stephen Rea, Udo Kier, Amelia Curtis",0.5579620324307113,-0.0525197300413735,Negative,"{'Happy': 0.1028, 'Angry': 0.0732, 'Surprise': 0.2768, 'Sad': 0.2304, 'Fear': 0.3152}"
69,Batman & Robin,0118688,3.7,1997,English,"Action, Sci-Fi","Batman and Robin are back working side-by-side to stop the villains of Gotham City, but is there tension appearing between them, especially when one villainess who calls herself Poison Ivy can make anyone fall in love with her...literally. Along with Poison Ivy, the icy Mr. Freeze is freezing anything which gets in his way from achieving his goal.",Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman, Alicia Silverstone",0.5794819345882231,0.06862992465186105,Positive,"{'Happy': 0.1572, 'Angry': 0.0496, 'Surprise': 0.2828, 'Sad': 0.2496, 'Fear': 0.2612}"
70,Crossroads,0275022,3.5,2002,English,"Comedy, Drama, Romance","Three best friends get together and bury a box, making a pact to open it at midnight at their high school graduation. In the small town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. On the night of their graduation, they open the box and they strike up a conversation. Suddenly, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac, they are all scared of him. When they reach Los Angeles, Lucy (Britney Spears) falls in love with Ben and against her father's wishes, she stays and she goes to the audition.",Tamra Davis,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning, Dan Aykroyd",0.5463500968261684,0.12265143185370568,Positive,"{'Happy': 0.1878, 'Angry': 0.0713, 'Surprise': 0.2291, 'Sad': 0.2339, 'Fear': 0.2757}"
