Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
139,Vaaranam Aayiram,1180583,8.2,2008,Tamil,"Action, Drama, Musical, Romance","Surya (Surya Sivakumar) is away at war as his father, Krisnan (also Surya) dies of lung cancer. As Surya sits on a plane in combat gear heading into battle, he reminisces about his father's influence in his life. The film opens with the father Krishnan's romance with Malini (Simram), which in turn is contrasted with the son's aggressive courting of an engineering student Meghana (Sameera Reddy) from a train ride in Tamil Nadu to her graduate studies in Berkeley. The romance is swiftly followed by an extended period of professional and personal uncertainty, in which the son turns back to father figures to help him get back on his feet and seek out his true calling. Well made, though overlong film, reportedly autobiographical about the director's own relationship with his father.",Gautham Vasudev Menon,"Suriya, Simran, Ramya, Sameera Reddy, Prithviraj",0.5507403423032877,0.29853570830812026,Positive,"{'Happy': 0.196, 'Angry': 0.0444, 'Surprise': 0.2668, 'Sad': 0.1996, 'Fear': 0.292}"
140,Android Kunjappan Ver 5.25,9526826,8.2,2019,Malayalam,"Comedy, Drama, Sci-Fi",,Ratheesh Balakrishnan Poduval,"Soubin Shahir, Suraj Venjaramoodu, Kendy Zirdo, Saiju Kurup, Sooraj Thelakkadu",0.5445847069955188,0.24760518662048014,Positive,"{'Happy': 0.1908, 'Angry': 0.0304, 'Surprise': 0.216, 'Sad': 0.2568, 'Fear': 0.3056}"
141,Gully Boy,2395469,7.9,2019,"Hindi, English","Drama, Music, Romance","""Gully Boy"" is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai, India. The son of a driver, his parents worked hard to get him educated so that he could have a white collar job. Meanwhile, Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world, is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.",Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz, Amruta Subhash",0.5361369709937001,0.204820738722123,Positive,"{'Happy': 0.1956, 'Angry': 0.0428, 'Surprise': 0.2832, 'Sad': 0.1712, 'Fear': 0.3056}"
142,Badhaai Ho,7725596,8.0,2018,Hindi,"Comedy, Drama","Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents ,friends and society.",Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra, Surekha Sikri",0.5249263947162393,0.25217529176702635,Positive,"{'Happy': 0.1632, 'Angry': 0.0312, 'Surprise': 0.3232, 'Sad': 0.1964, 'Fear': 0.2852}"
143,Naduvula Konjam Pakkatha Kaanom,2564144,8.2,2012,Tamil,"Comedy, Drama","Prem Kumar (Vijay Sethupathi) is all set to get married to his lover Dhanalakshmi (Gayathri). A day before his wedding, Prem decides to try his hand at playing cricket with his friends - Bagavathi (Bagavathi Perumal), Balaji (Rajkumar) and Saras (Vigneswaran). The game gets little serious and Prem in a bid to catch a ball falls down only to get injured in his head. He quickly gets back on his toes as the injury is no serious. But soon after the match, the friends are in for a shock. Prem forgets a few days of his life and develops short term memory loss wherein, he remembers his life till college and recognizes his friends, but clueless about his marriage. Fearing troubles, the friends take him to a doctor, who says that he will recover anytime. So the friends plan to keep him in their company, enact all drama till he ties the wedding knot, with a hope that he would get back his memory. The sequence of events wherein the friends try hide Prem's problem to his parents, lover and take him to wedding hall, convince him to marry Dhanalakshmi, bring the roof down with laughter.",Balaji Tharaneetharan,"Vijay Sethupathi, Gayathrie, Bagavathi Perumal, Rajkumar, Vigneswaran",0.5029830550770167,0.24847849420720097,Positive,"{'Happy': 0.255, 'Angry': 0.0225, 'Surprise': 0.2981, 'Sad': 0.1969, 'Fear': 0.2275}"
144,Ugly,2882328,7.9,2013,Hindi,"Crime, Drama, Mystery, Thriller","The film portrays the kidnapping of a little girl of 10, who is out with her father for the day. Her parents are divorced and her stepfather (a cop) steps in for the investigation. The suicidal mother has an ax to grind with both her ex-husband and her current husband. As the investigation proceeds, the characters are placed in sordid scenarios that reveal their unsavory sides; the mind games between the both the fathers in particular lend the procedural its most gripping drama as everyone else is getting greedy and ugly not caring about the kidnapped girl.",Anurag Kashyap,"Rahul Bhatt, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla",0.578768732542876,0.07479713380040241,Positive,"{'Happy': 0.1348, 'Angry': 0.0352, 'Surprise': 0.232, 'Sad': 0.2756, 'Fear': 0.3208}"
145,Deewaar,0072860,8.0,1975,Urdu,"Action, Crime, Drama, Thriller","The movie tells the story of two brothers, Vijay and Ravi Verma, who follow different career paths: Vijay is a smuggler and Ravi the policeman who is asked to hunt Vijay down. Vijay Verma (Amitabh Bachchan) and Ravi Verma (Shashi Kapoor) are the sons of a trade unionist, Anand Verma(Satyen Kappu), who was defeated and disgraced by the management of his firm using his family as bait. Unable to bear the public disgrace father deserts the family, and the sons are raised by their mother(Nirupa Roy)who brings them to Bombay City, who suffers the trials and tribulations of a poor single mother. Vijay Verma, the elder brother, grows up with an acute awareness of his father's humiliation and is victimized for his father's supposed misdeeds. In the process of fighting for his rights Vijay, who starts out as a boot polisher and becomes a dockyard worker in his youth, becomes a smuggler and a leading figure of the underworld.",Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Nirupa Roy, Parveen Babi, Neetu Singh",0.5237399349665559,0.22298524379736887,Positive,"{'Happy': 0.1172, 'Angry': 0.0704, 'Surprise': 0.2948, 'Sad': 0.206, 'Fear': 0.3112}"
146,Vaastav: The Reality,0220832,8.0,1999,Hindi,"Action, Crime, Drama, Thriller","SPOILER: Raghunath Namdev Shivalkar (Sanjay Dutt) and his best friend Dedh Footiya (Sanjay Narvekar) struggle to find work in Mumbai. They decide to run a pav bhaji stall.But fate steps in when Raghu accidentally kills a customer who turns out to be the brother of a notorious gangster, Fracture Pandya and end up in the Mumbai underworld. Vitthal Kaanya (Ashish Vidyarthi), a rival gang lord, offers Raghunath and Dedh Footiya protection and later hires them both as hitmen. Raghunath becomes a respected hit man, with Dedh Footiya as his accomplice. With Raghunath in his gang Vitthal Kaanya hits a peak in the Mumbai underworld. He is protected by a politician who uses Raghunath for his needs. While BabbanRao (Home Minister) relies on Raghunath, there are some others who despise Raghunath, and are just waiting in the sidelines to see when Raghunath makes an error. Raghunath does so, and hence becomes an embarrassment for BabbanRao. Soon Raghunath is on the run, both from the police, and BabbanRao's men. Raghunath knows now that he must protect his wife, parents, and family, as they too are in danger. Then Raghunath comes to know that the police have been ordered to kill him in an ""encounter"", and Raghunath now realizes that there is no escape from this harsh reality. Unable to save himself from police, Raghu comes back to his home and asks his mother to shot him down for a graceful end of life. His mother does the same and his wife doesn't stop her from doing this.",Mahesh Manjrekar,"Sanjay Dutt, Namrata Shirodkar, Reema Lagoo, Shivaji Satam, Sanjay Narvekar",0.5267083959280437,0.30165796113691895,Positive,"{'Happy': 0.1267, 'Angry': 0.0471, 'Surprise': 0.3762, 'Sad': 0.1392, 'Fear': 0.3104}"
147,Company,0296574,8.0,2002,Hindi,"Action, Crime, Drama, Thriller","Mallik is a henchman of Aslam Bhai, a Mumbai underworld kingpin. He inducts local hothead Chandu into the gang, and the two of them soon form a formidable faction within the gang, eventually displacing Aslam. As the empire grows, however, the two of them start drifting apart.",Ram Gopal Varma,"Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas, Vivek Oberoi",0.534456790268652,0.2817448459681373,Positive,"{'Happy': 0.174, 'Angry': 0.0604, 'Surprise': 0.2844, 'Sad': 0.1712, 'Fear': 0.3076}"
148,Kshanam,5504168,8.2,2016,Telugu,"Mystery, Thriller","Rishi, an NRI, comes to India in search of his ex-lover Swetha's daughter, who was kidnapped by a gang of Nigerians. The police are uncooperative and there is no evidence to collaborate Swetha's version of events. How will Rishi unravel the mystery?",Ravikanth Perepu,"Adivi Sesh, Adah Sharma, Anasuya Bharadwaj, Satyadev Kancharana, Vennela Kishore",0.5379988320485173,0.3480071217837399,Positive,"{'Happy': 0.1859, 'Angry': 0.0259, 'Surprise': 0.3377, 'Sad': 0.175, 'Fear': 0.2755}"
